iter	Passed	Remaining
0	139	139364
1	140	70090
2	141	46981
3	142	35418
4	143	28481
5	144	23872
6	145	20575
7	145	18103
8	146	16183
9	147	14643
10	148	13385
11	149	12336
12	150	11458
13	152	10732
14	153	10097
15	154	9516
16	155	9004
17	156	8547
18	157	8139
19	158	7771
20	159	7438
21	160	7135
22	161	6858
23	162	6605
24	163	6372
25	164	6160
26	165	5971
27	166	5787
28	167	5615
29	168	5454
30	169	5303
31	170	5160
32	171	5028
33	172	4901
34	173	4783
35	174	4671
36	175	4565
37	176	4465
38	177	4369
39	178	4278
40	179	4193
41	180	4112
42	181	4034
43	182	3960
44	183	3888
45	184	3820
46	185	3754
47	186	3691
48	187	3631
49	188	3573
50	188	3516
51	189	3463
52	190	3411
53	191	3361
54	193	3317
55	194	3270
56	195	3226
57	195	3183
58	197	3142
59	197	3101
60	198	3061
61	199	3023
62	200	2986
63	201	2951
64	202	2915
65	203	2882
66	204	2849
67	205	2811
68	206	2780
69	207	2751
70	208	2722
71	209	2694
72	209	2666
73	211	2640
74	212	2614
75	212	2588
76	213	2564
77	214	2539
78	215	2515
79	216	2492
80	217	2469
81	218	2447
82	219	2425
83	220	2405
84	221	2381
85	222	2361
86	222	2338
87	223	2319
88	224	2301
89	225	2283
90	226	2266
91	227	2249
92	228	2231
93	229	2214
94	230	2198
95	231	2181
96	232	2165
97	233	2149
98	234	2134
99	235	2119
100	236	2104
101	236	2086
102	237	2072
103	238	2058
104	239	2044
105	240	2031
106	241	2018
107	242	2005
108	243	1992
109	244	1980
110	245	1967
111	246	1955
112	247	1943
113	248	1932
114	249	1920
115	250	1907
116	251	1895
117	252	1884
118	252	1872
119	253	1862
120	254	1851
121	255	1841
122	256	1828
123	257	1818
124	258	1808
125	259	1798
126	260	1788
127	260	1776
128	261	1767
129	262	1758
130	263	1749
131	264	1740
132	265	1731
133	266	1722
134	267	1713
135	268	1705
136	269	1697
137	270	1688
138	271	1681
139	272	1673
140	273	1666
141	274	1658
142	275	1650
143	276	1643
144	277	1635
145	278	1628
146	279	1620
147	280	1613
148	281	1606
149	282	1599
150	283	1592
151	284	1585
152	285	1579
153	286	1572
154	287	1565
155	288	1558
156	289	1551
157	290	1545
158	290	1538
159	291	1532
160	292	1526
161	293	1519
162	294	1513
163	295	1506
164	296	1500
165	297	1494
166	298	1488
167	299	1483
168	300	1477
169	301	1471
170	302	1465
171	303	1459
172	304	1455
173	305	1451
174	307	1448
175	308	1444
176	309	1440
177	311	1436
178	312	1432
179	313	1427
180	313	1420
181	314	1414
182	315	1409
183	316	1404
184	317	1399
185	318	1394
186	319	1389
187	320	1383
188	321	1378
189	322	1373
190	323	1368
191	324	1363
192	325	1358
193	325	1354
194	326	1349
195	327	1345
196	328	1340
197	329	1335
198	330	1331
199	331	1326
200	332	1322
201	333	1317
202	334	1313
203	335	1309
204	336	1304
205	337	1300
206	338	1295
207	339	1291
208	340	1287
209	340	1282
210	341	1278
211	342	1274
212	343	1270
213	344	1266
214	346	1263
215	347	1259
216	348	1255
217	348	1251
218	349	1247
219	350	1243
220	351	1239
221	352	1235
222	353	1231
223	354	1227
224	355	1223
225	356	1220
226	357	1217
227	358	1214
228	359	1210
229	360	1206
230	361	1203
231	362	1199
232	363	1195
233	364	1192
234	365	1188
235	366	1185
236	367	1182
237	368	1178
238	369	1175
239	370	1171
240	371	1168
241	372	1165
242	373	1162
243	374	1159
244	375	1156
245	376	1153
246	377	1149
247	378	1146
248	379	1143
249	379	1139
250	380	1136
251	381	1133
252	382	1129
253	383	1126
254	384	1123
255	385	1121
256	387	1119
257	388	1116
258	389	1114
259	390	1111
260	391	1108
261	392	1105
262	393	1102
263	394	1100
264	395	1097
265	396	1095
266	397	1092
267	399	1090
268	400	1088
269	401	1086
270	402	1083
271	403	1080
272	404	1077
273	405	1074
274	406	1072
275	407	1069
276	408	1066
277	409	1063
278	410	1060
279	411	1057
280	412	1055
281	413	1053
282	414	1050
283	415	1047
284	416	1045
285	417	1042
286	418	1039
287	419	1036
288	420	1033
289	421	1031
290	422	1028
291	423	1025
292	423	1023
293	424	1020
294	425	1017
295	427	1016
296	428	1014
297	429	1012
298	430	1010
299	432	1008
300	433	1005
301	434	1003
302	435	1001
303	436	999
304	437	996
305	438	994
306	439	991
307	440	989
308	441	986
309	442	984
310	443	981
311	444	979
312	445	977
313	446	974
314	447	972
315	448	969
316	448	967
317	449	964
318	450	962
319	451	959
320	452	957
321	453	955
322	454	952
323	455	950
324	456	947
325	457	945
326	458	943
327	459	941
328	460	939
329	461	936
330	462	934
331	463	932
332	464	929
333	465	927
334	466	925
335	467	922
336	468	920
337	469	918
338	469	916
339	470	914
340	471	911
341	472	909
342	474	908
343	475	906
344	476	904
345	477	902
346	478	900
347	479	898
348	480	896
349	481	894
350	482	891
351	483	889
352	484	887
353	485	885
354	486	883
355	486	880
356	488	879
357	489	877
358	490	875
359	491	872
360	492	870
361	492	868
362	493	866
363	494	864
364	496	863
365	497	861
366	498	859
367	499	856
368	499	854
369	500	852
370	501	851
371	503	849
372	504	847
373	504	845
374	505	843
375	506	841
376	507	839
377	508	837
378	509	834
379	510	832
380	511	830
381	512	828
382	512	826
383	513	824
384	514	822
385	515	819
386	516	817
387	517	815
388	518	813
389	519	811
390	519	809
391	520	807
392	521	805
393	522	803
394	523	801
395	524	799
396	525	797
397	526	795
398	526	793
399	527	791
400	528	789
401	529	787
402	530	785
403	531	783
404	532	782
405	533	780
406	534	778
407	534	776
408	535	774
409	536	772
410	537	770
411	538	768
412	539	766
413	540	764
414	541	762
415	542	760
416	542	759
417	543	757
418	544	755
419	545	753
420	546	751
421	547	749
422	548	747
423	549	746
424	550	744
425	551	742
426	552	741
427	553	739
428	554	737
429	555	735
430	555	733
431	556	732
432	557	730
433	558	728
434	559	726
435	560	725
436	561	723
437	562	722
438	563	720
439	564	718
440	565	716
441	566	715
442	567	713
443	568	711
444	569	709
445	570	708
446	570	706
447	571	704
448	572	702
449	573	701
450	574	699
451	575	697
